CustID,ASP,Recency,Frequency,Monetary
MU2079,409.24633636,2,1,2
MU2260,408.49942726,2,1,1
MU10286,408.47736626,1,2,2
MU10146,408.45425868,2,2,2
MU10705,408.23529412,3,4,5
MU11102,408,1,4,4
MU11020,407.69230769,2,4,5
MU3123,407.52066116,3,2,2
MU3569,407.26323639,1,1,1
MU1176,406.99398798,2,1,1
MU10654,406.63212435,1,3,3
MU2326,406.48798521,4,2,1
MU278,405.36585366,4,4,4
MU2632,405.09090909,5,3,3
MU10435,405,3,3,4
MU10479,405,3,4,4
MU1270,404.70868821,5,4,3
MU2138,404.70868821,5,4,5
MU2585,404.70868821,5,4,5
MU2826,404.70868821,5,4,5
MU3578,404.70868821,5,4,5
MU2804,404.3442623,4,2,2
MU2122,403.23682257,3,1,1
MU1264,403.03308824,4,2,1
MU10475,402.5,3,4,4
MU1999,402.08450704,4,3,2
MU2567,402.02182654,4,1,1
MU2596,402,5,3,5
MU3226,401.98083067,4,2,2
MU10994,401.57894737,1,3,4
MU1944,401.36986301,4,3,4
MU3460,401.30718954,4,3,3
MU3347,400.34647551,4,1,1
MU3576,400.31971581,2,1,2
MU1253,400,3,3,2
MU2198,400,4,2,3
MU10539,399.8019802,1,3,3
MU1063,399.71544715,3,2,2
MU2213,398.94946053,2,1,1
MU2917,398.94736842,5,4,5
MU2004,397.93478261,2,3,3
MU2560,397.38542767,2,1,1
MU10241,397.35849057,3,3,4
MU10226,396.18270799,2,2,2
MU11088,396.15384615,1,4,3
MU3510,395.83333333,5,4,5
MU2769,395.73770492,4,3,4
MU10646,395.45454545,3,4,5
MU10719,395.45454545,2,4,5
MU10669,395.38461538,3,4,5
MU1067,395.33333333,4,4,5
MU10430,395.29411765,3,4,4
MU10141,395.23809524,3,4,5
MU10512,395.23809524,3,4,5
MU10679,395.23809524,3,4,4
MU3322,395.20547945,2,2,3
MU10381,395.15151515,2,3,4
MU10741,395.12820513,2,3,3
MU10893,395.01805054,1,3,2
MU10063,395,3,4,5
MU10104,395,3,3,4
MU10171,395,3,4,5
MU10208,395,3,4,5
MU10256,395,3,4,4
MU10330,395,3,4,4
MU10385,395,3,4,5
MU10397,395,3,4,5
MU10453,395,3,4,4
MU10543,395,3,4,5
MU10560,395,3,4,5
MU10605,395,3,4,5
MU10999,395,2,4,5
MU11046,395,1,3,4
MU2799,395,4,4,4
